time,viewers,date,channels,name,id,rownum,星期
20:00:00,389304,2018-04-08,16123,Fortnite,8375,1,1
20:00:00,299666,2018-04-08,2522,League of Legends,2,2,1
20:00:00,130863,2018-04-08,873,IRL,29791,3,1
20:00:00,94439,2018-04-08,3789,PLAYERUNKNOWN'S BATTLEGROUNDS,26989,4,1
20:00:00,79985,2018-04-08,466,Rocket League,14,5,1
20:00:00,63983,2018-04-08,341,Hearthstone,5,6,1
20:00:00,61978,2018-04-08,121,Welcome to the Game II,36963,7,1
20:00:00,42357,2018-04-08,837,Dota 2,6,8,1
20:00:00,38285,2018-04-08,1602,Counter-Strike: Global Offensive,3,9,1
20:00:00,34138,2018-04-08,487,FIFA 18,31815,10,1
20:00:00,379856,2018-04-09,13200,Fortnite,8375,1,2
20:00:00,124971,2018-04-09,106,Welcome to the Game II,36963,2,2
20:00:00,108510,2018-04-09,2647,League of Legends,2,3,2
20:00:00,92059,2018-04-09,3279,PLAYERUNKNOWN'S BATTLEGROUNDS,26989,4,2
20:00:00,57726,2018-04-09,364,Hearthstone,5,5,2
20:00:00,50832,2018-04-09,845,IRL,29791,6,2
20:00:00,50786,2018-04-09,805,Dota 2,6,7,2
20:00:00,35057,2018-04-09,1489,Counter-Strike: Global Offensive,3,8,2
20:00:00,33016,2018-04-09,1587,Overwatch,7410,9,2
20:00:00,24709,2018-04-09,642,Grand Theft Auto V,24,10,2
20:00:00,325613,2018-04-10,12870,Fortnite,8375,1,3
20:00:00,142754,2018-04-10,3196,PLAYERUNKNOWN'S BATTLEGROUNDS,26989,2,3
20:00:00,110309,2018-04-10,2522,League of Legends,2,3,3
20:00:00,78598,2018-04-10,134,Welcome to the Game II,36963,4,3
20:00:00,62221,2018-04-10,888,IRL,29791,5,3
20:00:00,50270,2018-04-10,353,Hearthstone,5,6,3
20:00:00,49573,2018-04-10,1430,Counter-Strike: Global Offensive,3,7,3
20:00:00,47101,2018-04-10,2947,Overwatch,7410,8,3
20:00:00,45698,2018-04-10,545,Radical Heights,41979,9,3
20:00:00,41053,2018-04-10,852,Dota 2,6,10,3
20:00:00,372682,2018-04-11,12283,Fortnite,8375,1,4
20:00:00,104383,2018-04-11,2473,League of Legends,2,2,4
20:00:00,103501,2018-04-11,3095,PLAYERUNKNOWN'S BATTLEGROUNDS,26989,3,4
20:00:00,63085,2018-04-11,1421,Counter-Strike: Global Offensive,3,4,4
20:00:00,61305,2018-04-11,892,IRL,29791,5,4
20:00:00,51910,2018-04-11,122,Welcome to the Game II,36963,6,4
20:00:00,51733,2018-04-11,377,Hearthstone,5,7,4
20:00:00,40045,2018-04-11,691,Grand Theft Auto V,24,8,4
20:00:00,39579,2018-04-11,813,Dota 2,6,9,4
20:00:00,29177,2018-04-11,2005,World of Warcraft,79,10,4
20:00:00,302094,2018-04-12,1728,Hearthstone,5,1,5
20:00:00,287006,2018-04-12,14815,Fortnite,8375,2,5
20:00:00,116807,2018-04-12,2564,League of Legends,2,3,5
20:00:00,102118,2018-04-12,3141,PLAYERUNKNOWN'S BATTLEGROUNDS,26989,4,5
20:00:00,65831,2018-04-12,867,IRL,29791,5,5
20:00:00,61003,2018-04-12,814,Dota 2,6,6,5
20:00:00,54574,2018-04-12,118,Welcome to the Game II,36963,7,5
20:00:00,39825,2018-04-12,1434,Counter-Strike: Global Offensive,3,8,5
20:00:00,27588,2018-04-12,24,SpyParty,2769,9,5
20:00:00,26575,2018-04-12,1676,World of Warcraft,79,10,5
20:00:00,228532,2018-04-13,14658,Fortnite,8375,1,6
20:00:00,171173,2018-04-13,724,Hearthstone,5,2,6
20:00:00,105022,2018-04-13,2729,League of Legends,2,3,6
20:00:00,97458,2018-04-13,1030,IRL,29791,4,6
20:00:00,87143,2018-04-13,847,Dota 2,6,5,6
20:00:00,57431,2018-04-13,3569,PLAYERUNKNOWN'S BATTLEGROUNDS,26989,6,6
20:00:00,54963,2018-04-13,119,Welcome to the Game II,36963,7,6
20:00:00,48140,2018-04-13,440,Rocket League,14,8,6
20:00:00,42857,2018-04-13,1834,Overwatch,7410,9,6
20:00:00,27477,2018-04-13,2,Barbie and the Magic of Pegasus,1334,10,6
20:00:00,281210,2018-04-14,17460,Fortnite,8375,1,7
20:00:00,146537,2018-04-14,2826,League of Legends,2,2,7
20:00:00,101062,2018-04-14,3710,PLAYERUNKNOWN'S BATTLEGROUNDS,26989,3,7
20:00:00,100788,2018-04-14,1072,IRL,29791,4,7
20:00:00,87626,2018-04-14,1139,Dota 2,6,5,7
20:00:00,87394,2018-04-14,650,Hearthstone,5,6,7
20:00:00,63568,2018-04-14,456,Rocket League,14,7,7
20:00:00,60899,2018-04-14,2010,Overwatch,7410,8,7
20:00:00,51041,2018-04-14,372,FIFA 18,31815,9,7
20:00:00,37090,2018-04-14,5,Tricky Towers,25902,10,7
20:00:00,310228,2018-04-15,17760,Fortnite,8375,1,1
20:00:00,216693,2018-04-15,2675,League of Legends,2,2,1
20:00:00,131563,2018-04-15,875,Dota 2,6,3,1
20:00:00,89220,2018-04-15,568,Hearthstone,5,4,1
20:00:00,84609,2018-04-15,416,FIFA 18,31815,5,1
20:00:00,68565,2018-04-15,3583,PLAYERUNKNOWN'S BATTLEGROUNDS,26989,6,1
20:00:00,61109,2018-04-15,896,IRL,29791,7,1
