name,viewersre,rownumre,channelsre
Fortnite,0.972259698,1,0.5711363636
Grand Theft Auto V,0.6281514353,0.9,0.0668181818
League of Legends,0.4988874468,0.8,0.1585
Just Chatting,0.3454030448,0.7,0.0708636364
Dota 2,0.2509319233,0.6,0.0441818182
Sekiro: Shadows Die Twice,0.189799037,0.5,0.0653181818
Apex Legends,0.1685614175,0.4,0.1944090909
Counter-Strike: Global Offensive,0.140658069,0.3,0.0862272727
PLAYERUNKNOWN'S BATTLEGROUNDS,0.1152963293,0.2,0.0708181818
FIFA 19,0.1041100533,0.1,0.0313636364
Fortnite,0.5637736018,1,0.5657272727
Grand Theft Auto V,0.536030103,0.9,0.0651818182
League of Legends,0.4436338293,0.8,0.1579090909
Apex Legends,0.4397558778,0.7,0.1893636364
Just Chatting,0.421462688,0.6,0.0682727273
Call of Duty: Black Ops 4,0.200946949,0.5,0.0753181818
Dota 2,0.1802272423,0.4,0.0453181818
Counter-Strike: Global Offensive,0.172033351,0.3,0.0925909091
Sekiro: Shadows Die Twice,0.1449132655,0.2,0.0639090909
Dead by Daylight,0.129484581,0.1,0.0410454545
League of Legends,0.7048153098,1,0.1617272727
Grand Theft Auto V,0.654622531,0.9,0.0712272727
Fortnite,0.653823283,0.8,0.5651363636
Just Chatting,0.545458033,0.7,0.0725454545
Dota 2,0.295242236,0.6,0.0448181818
Counter-Strike: Global Offensive,0.1457988325,0.5,0.0916818182
PLAYERUNKNOWN'S BATTLEGROUNDS,0.137745609,0.4,0.0748636364
Sekiro: Shadows Die Twice,0.1312876845,0.3,0.0611818182
Hearthstone,0.1181768193,0.2,0.0119090909
Apex Legends,0.094333651,0.1,0.0313181818
Grand Theft Auto V,0.7177982953,1,0.0681363636
Fortnite,0.5539460475,0.9,0.5624545455
Just Chatting,0.4755462063,0.8,0.0684545455
League of Legends,0.4070378588,0.7,0.164
Hearthstone,0.2844651753,0.6,0.0135
Dota 2,0.269189946,0.5,0.0436363636
Sekiro: Shadows Die Twice,0.2434893253,0.4,0.0532727273
Apex Legends,0.2202280095,0.3,0.1880454545
PLAYERUNKNOWN'S BATTLEGROUNDS,0.1936002608,0.2,0.0711363636
Counter-Strike: Global Offensive,0.1521256803,0.1,0.0895454545
League of Legends,0.7155284308,1,0.16
Grand Theft Auto V,0.6835233413,0.9,0.0725454545
Fortnite,0.5662352858,0.8,0.7499090909
Just Chatting,0.391190368,0.7,0.0760909091
Dota 2,0.224115552,0.6,0.0472272727
Apex Legends,0.215841736,0.5,0.1855
FIFA 19,0.1872925953,0.4,0.0333181818
PLAYERUNKNOWN'S BATTLEGROUNDS,0.1547919718,0.3,0.0767727273
Hearthstone,0.1314123673,0.2,0.0126363636
Counter-Strike: Global Offensive,0.1184901245,0.1,0.1043181818
Fortnite,0.7938835145,1,0.9895909091
Grand Theft Auto V,0.5648094273,0.9,0.0772272727
League of Legends,0.5014418435,0.8,0.1774545455
Overwatch,0.406535931,0.7,0.0706818182
Just Chatting,0.3551282953,0.6,0.0815909091
Dota 2,0.1859626463,0.5,0.0476818182
FIFA 19,0.1764420033,0.4,0.0285909091
Counter-Strike: Global Offensive,0.1698050475,0.3,0.0914545455
Rocket League,0.149731133,0.2,0.0246818182
Apex Legends,0.1438007123,0.1,0.1960454545
League of Legends,0.9821224193,1,0.1628181818
Fortnite,0.7868213585,0.9,0.847
Grand Theft Auto V,0.5419573265,0.8,0.0737727273
Just Chatting,0.4897600338,0.7,0.0686363636
Overwatch,0.377580772,0.6,0.0654545455
FIFA 19,0.3197663638,0.5,0.0380909091
Dota 2,0.2079291803,0.4,0.0483636364
Counter-Strike: Global Offensive,0.1809497625,0.3,0.0980454545
Rocket League,0.1750353268,0.2,0.0219545455
Apex Legends,0.1578706753,0.1,0.1967272727
